paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
2,5-4,P,0,C,1.885,7,3
2,5-5,P,0,C,3.295,9,3
2,5-6,R,0,C,3.295,7,3
2,5-7,O,0,D,1.53,5,3
2,5-8,O,0,D,1.53,3,3
2,5-9,O,0,D,1.53,6,3
2,6-0,P,0,C,1.885,3,3
2,6-1,A,0,C,3.295,10,3
2,6-2,E,0,D,4.591,10,3
2,6-3,P,0,C,1.18,4,3
2,6-4,E,0,D,6.121,10,3
2,6-5,P,0,C,2.59,9,3
2,6-6,A,0,C,3.295,10,3
2,6-7,E,0,D,3.061,4,3
2,6-8,A,0,C,1.18,5,3
2,6-9,O,0,D,4.591,7,3
2,7-0,E,0,D,4.591,4,3
2,7-1,A,0,C,2.59,4,3
2,7-2,E,0,D,3.061,10,3
2,7-3,O,0,D,4.591,4,3
2,7-4,P,0,C,1.885,5,3
2,7-5,O,0,D,4.591,9,3
2,7-6,A,0,C,2.59,8,3
2,7-7,R,0,D,1.53,8,3
2,7-8,O,0,D,3.061,10,3
2,7-9,R,0,C,1.18,5,3
2,8-0,O,0,D,1.53,9,3
2,8-1,A,0,C,3.295,5,3
2,8-2,P,0,C,3.295,7,3
2,8-3,P,0,C,3.295,10,3
2,8-4,P,0,C,3.295,10,3
2,8-5,E,0,D,4.591,4,3
2,8-6,R,0,C,2.59,10,3
2,8-7,E,0,D,1.53,7,3
2,8-8,R,0,D,0.0,7,3
2,8-9,E,0,D,1.53,4,3
2,9-0,O,0,D,3.061,8,3
2,9-1,P,0,C,2.59,6,3
2,9-2,P,0,C,4.0,6,3
2,9-3,P,0,C,4.0,8,3
2,9-4,A,0,C,3.295,10,3
2,9-5,A,0,C,3.295,10,3
2,9-6,P,0,C,3.295,6,3
2,9-7,O,0,D,1.53,3,3
2,9-8,O,0,D,0.0,3,3
2,9-9,R,0,D,1.53,6,3
3,0-0,A,0,C,3.442,9,4
3,0-1,E,0,D,5.929,10,4
3,0-2,A,0,C,3.814,10,4
3,0-3,P,0,C,3.628,9,4
3,0-4,E,0,D,5.929,8,4
3,0-5,A,0,C,3.628,9,4
3,0-6,P,0,C,3.628,6,4
3,0-7,E,0,D,1.482,9,4
3,0-8,E,0,D,1.482,8,4
3,0-9,P,0,C,3.442,3,0
3,1-0,O,0,D,2.964,8,4
3,1-1,A,0,C,3.442,5,4
3,1-2,P,0,C,3.814,7,4
3,1-3,E,0,D,4.446,10,4
3,1-4,P,0,C,3.257,4,4
3,1-5,E,0,D,2.964,6,4
3,1-6,P,1,D,2.964,3,0
3,1-7,O,0,D,0.0,8,4
3,1-8,E,0,D,1.482,3,0
3,1-9,E,0,D,1.482,7,4
3,2-0,O,0,D,0.0,4,4
3,2-1,O,0,D,2.964,8,4
3,2-2,A,0,C,3.628,5,4
3,2-3,E,0,D,1.482,4,4
3,2-4,O,0,D,1.482,4,4
3,2-5,O,0,D,1.482,8,4
3,2-6,P,0,C,3.257,3,0
3,2-7,O,0,D,2.964,8,4
3,2-8,A,0,C,3.442,6,4
3,2-9,O,0,D,1.482,6,4
3,3-0,O,0,D,0.0,6,4
3,3-1,O,0,D,2.964,9,4
3,3-2,P,0,C,3.442,8,4
3,3-3,E,0,D,1.482,6,4
3,3-4,O,0,D,0.0,5,4
3,3-5,E,0,D,0.0,3,0
3,3-6,E,0,D,2.964,3,0
3,3-7,R,0,D,1.482,8,4
3,3-8,P,0,C,3.442,4,4
3,3-9,E,0,D,2.964,10,4
3,4-0,O,0,D,2.964,10,4
3,4-1,A,0,C,3.442,5,4
3,4-2,O,0,D,2.964,10,4
3,4-3,O,0,D,0.0,4,4
3,4-4,E,0,D,1.482,8,4
3,4-5,E,0,D,2.964,9,4
3,4-6,A,0,C,3.442,8,4
3,4-7,E,0,D,1.482,3,0
3,4-8,E,0,D,2.964,10,4
3,4-9,A,0,C,3.257,8,4
3,5-0,O,0,D,2.964,10,4
3,5-1,P,0,C,3.628,10,4
3,5-2,O,1,D,1.482,3,0
3,5-3,O,0,D,2.964,10,4
3,5-4,P,0,C,3.442,6,4
3,5-5,P,0,C,3.814,10,4
3,5-6,R,0,C,3.814,8,4
3,5-7,O,0,D,1.482,4,4
3,5-8,O,0,D,1.482,3,0
3,5-9,O,0,D,1.482,5,4
3,6-0,P,0,C,3.442,4,4
3,6-1,A,0,C,3.814,10,4
3,6-2,E,0,D,2.964,10,4
3,6-3,P,0,C,3.257,3,0
3,6-4,E,0,D,5.929,10,4
3,6-5,P,0,C,3.628,10,4
3,6-6,A,0,C,3.814,10,4
3,6-7,A,1,D,2.964,3,0
3,6-8,A,0,C,3.257,4,4
3,6-9,O,0,D,2.964,6,4
3,7-0,A,1,D,2.964,3,0
3,7-1,A,0,C,3.628,5,4
3,7-2,E,0,D,2.964,10,4
3,7-3,O,0,D,4.446,5,4
3,7-4,P,0,C,3.442,4,4
3,7-5,O,0,D,4.446,10,4
3,7-6,A,0,C,3.628,9,4
3,7-7,R,0,D,1.482,7,4
3,7-8,O,0,D,2.964,9,4
3,7-9,R,0,D,0.0,4,4
3,8-0,O,0,D,1.482,8,4
3,8-1,A,0,C,3.814,6,4
3,8-2,P,0,C,3.814,8,4
3,8-3,P,0,C,3.814,10,4
3,8-4,P,0,C,3.814,10,4
3,8-5,E,0,D,4.446,5,4
3,8-6,R,0,C,3.628,10,4
3,8-7,E,0,D,2.964,8,4
3,8-8,R,0,C,3.257,6,4
3,8-9,O,1,D,1.482,3,0
3,9-0,O,0,D,2.964,9,4
3,9-1,P,0,C,3.628,7,4
3,9-2,P,0,C,4.0,7,4
3,9-3,P,0,C,4.0,9,4
3,9-4,A,0,C,3.814,10,4
3,9-5,A,0,C,3.814,10,4
3,9-6,P,0,C,3.814,7,4
3,9-7,P,1,D,1.482,3,0
3,9-8,P,1,D,1.482,3,0
3,9-9,R,0,D,1.482,5,4
4,0-0,A,0,C,3.264,8,5
4,0-1,E,0,D,4.631,10,5
4,0-2,A,0,C,3.755,10,5
4,0-3,P,0,C,3.51,8,5
4,0-4,E,0,D,4.631,9,5
4,0-5,A,0,C,3.51,8,5
4,0-6,P,0,C,3.755,5,5
4,0-7,E,0,D,2.315,10,5
4,0-8,E,0,D,2.315,9,5
4,0-9,P,0,C,3.264,3,1
4,1-0,O,0,D,2.315,9,5
4,1-1,P,1,C,3.264,4,0
4,1-2,P,0,C,3.755,8,5
4,1-3,E,0,D,3.473,10,5
4,1-4,P,0,C,3.019,3,0
4,1-5,E,0,D,3.473,7,5
4,1-6,P,0,C,3.51,3,1
4,1-7,O,0,D,1.158,7,5
4,1-8,E,0,D,1.158,3,1
4,1-9,E,0,D,1.158,6,5
4,2-0,O,0,D,0.0,3,0
4,2-1,O,0,D,2.315,9,5
4,2-2,A,0,C,3.51,6,5
4,2-3,E,0,D,1.158,3,0
4,2-4,P,1,D,1.158,3,0
4,2-5,O,0,D,1.158,7,5
4,2-6,P,0,C,3.264,3,1
4,2-7,O,0,D,3.473,7,5
4,2-8,A,0,C,3.264,5,5
4,2-9,O,0,D,1.158,5,5
4,3-0,O,0,D,0.0,5,5
4,3-1,O,0,D,2.315,10,5
4,3-2,P,0,C,3.264,7,5
4,3-3,E,0,D,1.158,5,5
4,3-4,E,1,D,0.0,4,0
4,3-5,E,0,D,0.0,3,1
4,3-6,E,0,D,3.473,4,1
4,3-7,R,0,C,3.264,7,5
4,3-8,P,0,C,3.51,5,5
4,3-9,E,0,D,2.315,10,5
4,4-0,O,0,D,2.315,9,5
4,4-1,A,0,C,3.264,4,0
4,4-2,O,0,D,2.315,10,5
4,4-3,O,0,D,0.0,3,0
4,4-4,E,0,D,1.158,7,5
4,4-5,E,0,D,2.315,10,5
4,4-6,A,0,C,3.019,7,5
4,4-7,E,0,D,2.315,3,1
4,4-8,E,0,D,2.315,10,5
4,4-9,A,0,C,3.019,7,5
4,5-0,O,0,D,2.315,9,5
4,5-1,P,0,C,3.51,10,5
4,5-2,O,0,D,1.158,3,1
4,5-3,O,0,D,2.315,9,5
4,5-4,P,0,C,3.264,5,5
4,5-5,P,0,C,3.51,10,5
4,5-6,R,0,D,3.473,9,5
4,5-7,A,1,D,1.158,3,0
4,5-8,O,0,D,1.158,3,1
4,5-9,O,0,D,1.158,4,0
4,6-0,A,1,C,3.51,3,0
4,6-1,A,0,C,3.755,10,5
4,6-2,E,0,D,2.315,9,5
4,6-3,P,0,C,3.019,3,1
4,6-4,E,0,D,4.631,10,5
4,6-5,P,0,C,3.51,10,5
4,6-6,A,0,C,3.755,10,5
4,6-7,A,0,C,3.51,3,1
4,6-8,A,0,C,3.264,3,0
4,6-9,O,0,D,3.473,7,5
4,7-0,A,0,C,3.755,4,1
4,7-1,A,0,C,3.755,6,5
