paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
1,9-6,O,0,D,0.0,7,2
1,9-7,E,0,D,3.96,5,2
1,9-8,A,0,C,3.939,7,2
1,9-9,O,0,D,7.919,10,2
2,0-0,A,0,C,3.96,10,3
2,0-1,A,0,C,3.919,10,3
2,0-2,E,0,D,1.96,6,3
2,0-3,O,0,D,1.96,3,3
2,0-4,R,0,D,3.919,7,3
2,0-5,E,0,D,0.0,9,3
2,0-6,O,0,D,1.96,3,3
2,0-7,P,0,C,3.919,5,3
2,0-8,P,0,C,3.96,10,3
2,0-9,A,0,C,3.919,7,3
2,1-0,E,0,D,3.919,8,3
2,1-1,P,0,C,3.879,4,3
2,1-2,E,0,D,3.919,5,3
2,1-3,P,0,C,3.879,5,3
2,1-4,P,0,C,3.879,6,3
2,1-5,E,0,D,3.919,9,3
2,1-6,E,0,D,3.919,5,3
2,1-7,P,0,C,3.919,10,3
2,1-8,O,0,D,3.919,7,3
2,1-9,E,0,D,3.919,8,3
2,2-0,E,0,D,3.919,5,3
2,2-1,O,0,D,3.919,10,3
2,2-2,O,0,D,1.96,5,3
2,2-3,O,0,D,1.96,7,3
2,2-4,R,0,D,3.919,7,3
2,2-5,R,0,C,3.879,4,3
2,2-6,R,0,C,3.919,6,3
2,2-7,A,0,C,3.96,5,3
2,2-8,E,0,D,5.879,8,3
2,2-9,P,0,C,3.838,3,3
2,3-0,A,0,C,3.879,4,3
2,3-1,A,0,C,3.919,8,3
2,3-2,P,0,C,3.879,9,3
2,3-3,E,0,D,3.919,6,3
2,3-4,O,0,D,0.0,6,3
2,3-5,O,0,D,1.96,8,3
2,3-6,E,0,D,5.879,8,3
2,3-7,R,0,C,3.919,3,3
2,3-8,P,0,C,3.879,3,3
2,3-9,E,0,D,5.879,10,3
2,4-0,E,0,D,1.96,6,3
2,4-1,E,0,D,1.96,6,3
2,4-2,E,0,D,5.879,10,3
2,4-3,P,0,C,3.879,3,3
2,4-4,O,0,D,1.96,8,3
2,4-5,R,0,D,3.919,6,3
2,4-6,P,0,C,3.838,3,3
2,4-7,E,0,D,3.919,3,3
2,4-8,E,0,D,1.96,6,3
2,4-9,E,0,D,1.96,8,3
2,5-0,O,0,D,3.919,8,3
2,5-1,E,0,D,3.919,6,3
2,5-2,P,0,C,3.919,8,3
2,5-3,R,0,C,3.919,10,3
2,5-4,E,0,D,3.919,8,3
2,5-5,A,0,C,3.879,7,3
2,5-6,E,0,D,3.919,10,3
2,5-7,E,0,D,1.96,8,3
2,5-8,E,0,D,1.96,4,3
2,5-9,P,0,C,3.879,3,3
2,6-0,A,0,C,3.96,10,3
2,6-1,P,0,C,3.96,7,3
2,6-2,A,0,C,3.96,10,3
2,6-3,E,0,D,5.879,9,3
2,6-4,E,0,D,1.96,7,3
2,6-5,P,0,C,3.879,4,3
2,6-6,O,0,D,5.879,6,3
2,6-7,A,0,C,3.838,6,3
2,6-8,E,0,D,3.919,9,3
2,6-9,P,0,C,3.96,6,3
2,7-0,A,0,C,3.96,6,3
2,7-1,P,0,C,4.0,7,3
2,7-2,P,0,C,4.0,7,3
2,7-3,A,0,C,3.879,4,3
2,7-4,E,0,D,1.96,9,3
2,7-5,R,0,D,3.919,9,3
2,7-6,P,0,C,3.838,6,3
2,7-7,O,0,D,3.919,3,3
2,7-8,E,0,D,1.96,7,3
2,7-9,A,0,C,3.96,9,3
2,8-0,E,0,D,7.838,6,3
2,8-1,R,0,C,3.919,9,3
2,8-2,R,0,C,3.919,7,3
2,8-3,O,0,D,3.919,8,3
2,8-4,E,0,D,1.96,5,3
2,8-5,O,0,D,0.0,3,3
2,8-6,E,0,D,1.96,7,3
2,8-7,E,0,D,0.0,7,3
2,8-8,R,0,D,3.919,10,3
2,8-9,P,0,C,3.879,8,3
2,9-0,A,0,C,3.879,6,3
2,9-1,E,0,D,5.879,9,3
2,9-2,E,0,D,1.96,7,3
2,9-3,O,0,D,1.96,8,3
2,9-4,P,0,C,3.838,3,3
2,9-5,E,0,D,1.96,3,3
2,9-6,O,0,D,0.0,6,3
2,9-7,E,0,D,3.919,4,3
2,9-8,A,0,C,3.879,8,3
2,9-9,O,0,D,7.838,10,3
3,0-0,A,0,C,3.939,10,4
3,0-1,A,0,C,3.879,10,4
3,0-2,E,0,D,1.939,5,4
3,0-3,P,1,D,1.939,3,0
3,0-4,R,0,D,3.879,8,4
3,0-5,E,0,D,0.0,8,4
3,0-6,O,0,D,1.939,3,0
3,0-7,P,0,C,3.879,6,4
3,0-8,P,0,C,3.939,10,4
3,0-9,A,0,C,3.879,8,4
3,1-0,E,0,D,3.879,9,4
3,1-1,P,0,C,3.818,3,0
3,1-2,E,0,D,3.879,4,4
3,1-3,P,0,C,3.818,6,4
3,1-4,P,0,C,3.879,7,4
3,1-5,E,0,D,3.879,10,4
3,1-6,E,0,D,1.939,4,4
3,1-7,P,0,C,3.879,10,4
3,1-8,O,0,D,3.879,8,4
3,1-9,E,0,D,3.879,9,4
3,2-0,E,0,D,3.879,4,4
3,2-1,O,0,D,3.879,10,4
3,2-2,O,0,D,1.939,4,4
3,2-3,O,0,D,3.879,8,4
3,2-4,R,0,C,3.879,8,4
3,2-5,R,0,C,3.818,3,0
3,2-6,R,0,D,3.879,7,4
3,2-7,A,0,C,3.879,6,4
3,2-8,E,0,D,5.818,9,4
3,2-9,P,0,C,3.758,3,0
3,3-0,A,0,C,3.818,3,0
3,3-1,A,0,C,3.879,7,4
3,3-2,P,0,C,3.818,8,4
3,3-3,E,0,D,3.879,7,4
3,3-4,O,0,D,1.939,5,4
3,3-5,O,0,D,1.939,9,4
3,3-6,E,0,D,3.879,9,4
3,3-7,E,1,C,3.879,3,0
3,3-8,P,0,C,3.818,3,0
3,3-9,E,0,D,5.818,10,4
3,4-0,E,0,D,1.939,5,4
3,4-1,E,0,D,1.939,7,4
3,4-2,E,0,D,5.818,10,4
3,4-3,P,0,C,3.758,3,0
3,4-4,O,0,D,1.939,7,4
3,4-5,R,0,D,3.879,7,4
3,4-6,P,0,C,3.758,3,0
3,4-7,E,0,D,3.879,3,0
3,4-8,E,0,D,1.939,5,4
3,4-9,E,0,D,1.939,7,4
3,5-0,O,0,D,3.879,7,4
3,5-1,E,0,D,3.879,7,4
3,5-2,P,0,C,3.818,7,4
3,5-3,R,0,D,3.879,10,4
3,5-4,E,0,D,1.939,7,4
3,5-5,A,0,C,3.818,6,4
3,5-6,E,0,D,3.879,10,4
3,5-7,E,0,D,1.939,7,4
3,5-8,E,0,D,1.939,3,0
3,5-9,P,0,C,3.818,3,0
3,6-0,A,0,C,3.939,10,4
3,6-1,P,0,C,3.939,8,4
3,6-2,A,0,C,3.939,10,4
3,6-3,E,0,D,3.879,10,4
3,6-4,E,0,D,1.939,8,4
3,6-5,P,0,C,3.879,5,4
3,6-6,O,0,D,5.818,7,4
3,6-7,A,0,C,3.758,5,4
3,6-8,E,0,D,3.879,10,4
3,6-9,P,0,C,3.939,7,4
3,7-0,A,0,C,3.939,7,4
3,7-1,P,0,C,3.939,8,4
3,7-2,P,0,C,3.939,8,4
3,7-3,A,0,C,3.818,3,0
3,7-4,E,0,D,3.879,8,4
3,7-5,R,0,C,3.879,10,4
3,7-6,P,0,C,3.818,5,4
3,7-7,O,0,D,3.879,4,4
3,7-8,E,0,D,1.939,6,4
3,7-9,A,0,C,3.939,10,4
3,8-0,E,0,D,5.818,7,4
3,8-1,R,0,D,1.939,8,4
3,8-2,R,0,D,1.939,8,4
3,8-3,O,0,D,1.939,9,4
3,8-4,E,0,D,1.939,4,4
3,8-5,O,0,D,1.939,4,4
3,8-6,E,0,D,1.939,6,4
3,8-7,E,0,D,0.0,6,4
3,8-8,R,0,D,3.879,10,4
3,8-9,P,0,C,3.818,7,4
3,9-0,A,0,C,3.818,7,4
3,9-1,E,0,D,3.879,10,4
3,9-2,E,0,D,0.0,6,4
3,9-3,O,0,D,1.939,9,4
3,9-4,P,0,C,3.758,3,0
3,9-5,P,1,D,1.939,3,0
3,9-6,O,0,D,0.0,5,4
3,9-7,E,0,D,3.879,5,4
3,9-8,A,0,C,3.818,7,4
3,9-9,O,0,D,7.758,10,4
4,0-0,A,0,C,3.919,10,5
4,0-1,A,0,C,3.838,10,5
4,0-2,E,0,D,3.838,4,0
4,0-3,P,0,C,3.838,4,1
4,0-4,R,0,C,3.919,9,5
4,0-5,E,0,D,3.838,9,5
4,0-6,O,0,D,1.919,3,1
4,0-7,P,0,C,3.838,7,5
4,0-8,P,0,C,3.919,10,5
4,0-9,A,0,C,3.838,9,5
4,1-0,E,0,D,3.838,8,5
4,1-1,P,0,C,3.758,3,1
4,1-2,E,0,D,3.838,5,5
4,1-3,P,0,C,3.838,5,5
4,1-4,P,0,C,3.838,8,5
4,1-5,E,0,D,3.838,10,5
4,1-6,E,0,D,1.919,3,0
4,1-7,P,0,C,3.838,10,5
4,1-8,O,0,D,3.838,9,5
4,1-9,E,0,D,3.838,8,5
4,2-0,E,0,D,3.838,5,5
4,2-1,O,0,D,3.838,10,5
4,2-2,O,0,D,1.919,3,0
4,2-3,O,0,D,1.919,7,5
4,2-4,R,0,D,3.838,9,5
4,2-5,R,0,C,3.677,3,1
4,2-6,R,0,D,3.838,8,5
4,2-7,A,0,C,3.758,5,5
4,2-8,E,0,D,5.758,10,5
4,2-9,P,0,C,3.677,3,1
4,3-0,A,0,C,3.758,3,1
4,3-1,A,0,C,3.838,6,5
4,3-2,P,0,C,3.758,7,5
4,3-3,E,0,D,3.838,8,5
4,3-4,E,1,D,0.0,4,0
4,3-5,O,0,D,1.919,10,5
4,3-6,E,0,D,1.919,8,5
4,3-7,E,0,D,3.838,3,1
4,3-8,P,0,C,3.677,3,1
4,3-9,E,0,D,5.758,9,5
4,4-0,E,0,D,1.919,6,5
4,4-1,E,0,D,1.919,6,5
4,4-2,E,0,D,5.758,9,5
4,4-3,P,0,C,3.758,3,1
4,4-4,O,0,D,1.919,6,5
4,4-5,R,0,D,3.838,8,5
4,4-6,P,0,C,3.677,3,1
4,4-7,E,0,D,1.919,3,1
4,4-8,E,0,D,1.919,4,0
4,4-9,E,0,D,1.919,6,5
4,5-0,O,0,D,3.838,8,5
4,5-1,E,0,D,3.838,8,5
4,5-2,P,0,C,3.838,8,5
4,5-3,R,0,C,3.838,10,5
4,5-4,E,0,D,3.838,8,5
4,5-5,A,0,C,3.758,5,5
